board,dataset,clf,n_features,flash,raw_flash,flash_percent,flash_score,memory,raw_memory,memory_percent,memory_score,offline_accuracy,online_accuracy,inference_time
NUCLEO-L432KC{speed=80},EMG,DecisionTree{max_depth=20},63,2072,17472,0.07109375,0.7721873525211126,0,0.0,0.0,0.8312866368604072,0.8312866368604072,0.8,1.88
NUCLEO-L432KC{speed=80},EMG,"RandomForest{n=30, max_depth=10}",63,48736,64136,0.2609700520833333,0.6784830929686206,0,0.0,0.0,0.918072528564332,0.918072528564332,1.0,78.16
NUCLEO-L432KC{speed=80},EMG,XGBoost{n=20},63,80088,95488,0.3885416666666667,0.5606172115048482,0,0.0,0.0,0.9168526798034996,0.9168526798034996,1.0,380.86
NUCLEO-L432KC{speed=80},EMG,GaussianNB,63,8960,24360,0.09912109375,0.22084834804241185,0,0.0,0.0,0.2451476513771596,0.2451476513771596,0.0,15039.48
NUCLEO-L432KC{speed=80},EMG,Logistic Regression,63,5776,21176,0.08616536458333332,0.2062733142775087,0,0.0,0.0,0.2257228017883756,0.2257228017883756,0.2,196.74
NUCLEO-L432KC{speed=80},Sport activity 10,DecisionTree{max_depth=20},180,2344,17744,0.07220052083333334,0.7847637261284721,0,0.0,0.0,0.8458333333333333,0.8458333333333333,0.0,0.98
NUCLEO-L432KC{speed=80},Sport activity 10,"RandomForest{n=30, max_depth=10}",180,60000,75400,0.3068033854166667,0.6254655287000868,0,0.0,0.0,0.9022916666666668,0.9022916666666668,0.0,60.28
NUCLEO-L432KC{speed=80},Sport activity 10,XGBoost{n=20},180,77672,93072,0.3787109375,0.5299077962239583,0,0.0,0.0,0.8529166666666667,0.8529166666666667,0.0,421.58
NUCLEO-L432KC{speed=80},Sport activity 10,GaussianNB,180,44352,59752,0.2431315104166667,0.6587909478081597,0,0.0,0.0,0.8704166666666667,0.8704166666666667,0.0,85905.2
NUCLEO-L432KC{speed=80},Sport activity 10,Logistic Regression,180,32688,48088,0.19567057291666667,0.6511716986762153,0,0.0,0.0,0.8095833333333333,0.8095833333333333,0.2,1124.18
Arduino Nano 33 BLE,Iris,DecisionTree{max_depth=20},4,344,86904,0.0884033203125,0.8812101236979167,16,45600.0,0.1739501953125,0.7985148111979167,0.9666666666666668,1.0,3.06
Arduino Nano 33 BLE,Iris,"RandomForest{n=30, max_depth=10}",4,5464,92024,0.09361165364583332,0.8701328125,16,45600.0,0.1739501953125,0.7930078125,0.96,1.0,59.82
Arduino Nano 33 BLE,Iris,XGBoost{n=20},4,28312,114872,0.11685384114583333,0.8478203125,16,45600.0,0.1739501953125,0.7930078125,0.96,1.0,1087.64
Arduino Nano 33 BLE,Iris,GaussianNB,4,1400,87960,0.0894775390625,0.85589111328125,16,45600.0,0.1739501953125,0.77648681640625,0.94,1.0,243.54
Arduino Nano 33 BLE,Iris,Logistic Regression,4,664,87224,0.08872884114583332,0.8869705946180555,16,45600.0,0.1739501953125,0.8040218098958333,0.9733333333333332,0.4,10.38
Arduino Nano 33 BLE,Wine,DecisionTree{max_depth=20},13,248,86808,0.0883056640625,0.7737383286068443,48,45632.0,0.174072265625,0.7009497805952801,0.8486817325800375,1.0,1.84
Arduino Nano 33 BLE,Wine,"RandomForest{n=30, max_depth=10}",13,4600,91160,0.09273274739583333,0.8361040114159113,48,45632.0,0.174072265625,0.7611445137785428,0.9215630885122408,1.0,58.0
Arduino Nano 33 BLE,Wine,XGBoost{n=20},13,15864,102424,0.10419108072916666,0.8252913809930164,48,45632.0,0.174072265625,0.7609112008592278,0.9212806026365348,1.0,871.58
